run,commands,positions,duration_s,effective_hz,max_interval_ms,max_joint_change_deg,errors
robot-20260917-213234-343124,500,250,9.978646196999762,50.00678350035421,21.378147999712382,23.67892909751152,"['RuntimeError(""Temperature threshold exceeded: {\'shoulder_pan\': 38, \'shoulder_lift\': 39, \'elbow_flex\': 45, \'wrist_flex\': 40, \'wrist_roll\': 39, \'gripper\': 51}"")']"
robot-20260917-213314-220422,0,0,,,,,[]
robot-20260917-213402-115039,551,276,10.998333395999907,50.00757662065735,21.40005699948233,23.428571427337268,[]
robot-20260917-213522-196041,563,282,11.239586325000346,50.00184025900817,20.994100000280014,23.956043955017833,[]
robot-20260917-213617-546492,563,282,11.239908352999919,50.00040768570882,21.102009999594884,23.956043955189855,[]
robot-20260917-213658-674886,563,282,11.239497671000208,50.00223465947722,20.901548000438197,23.95604395588936,[]
robot-20260917-213746-579196,563,282,11.240172758999506,49.999231510924204,21.226096000646066,23.956043955863578,[]
robot-20260917-213918-256646,151,76,2.999845624000045,50.00257306573912,20.945625000422297,5.0439560407908175,[]
robot-20260917-214127-686614,0,0,,,,,[]
robot-20260917-214141-268591,295,148,5.879119544000787,50.007487991974166,21.02944799935358,12.527472525165631,[]
robot-20260917-214221-990236,471,236,9.400413753000066,49.99779928303723,21.15287200012972,20.03296703252059,[]
robot-20260917-214312-147519,470,235,9.379376367000077,50.003324490752476,21.033127999544377,19.999999999799556,[]
robot-20260917-214359-267681,100,50,1.9785153110005922,50.03752028076692,20.85780200013687,0.9194008230771686,"['RuntimeError(""Temperature threshold exceeded: {\'shoulder_pan\': 38, \'shoulder_lift\': 39, \'elbow_flex\': 51, \'wrist_flex\': 39, \'wrist_roll\': 39, \'gripper\': 41}"")']"
robot-20260917-214415-256996,0,0,,,,,[]
robot-20260917-214441-099755,572,286,11.419399016999705,50.0026314125612,21.344941999814182,24.32967032938194,[]
robot-20260917-214607-181393,553,277,11.039901811999698,50.00044469598541,21.169913000449014,23.51648351619155,[]
robot-20260917-214647-524921,566,283,11.29933948300004,50.0029228124394,21.442860999741242,24.06593406568787,[]
robot-20260917-214737-321431,566,283,11.300100125000426,49.99955697295016,21.133147000000463,24.06593406575917,[]
robot-20260917-214830-720987,151,76,2.9997856740001225,50.00357235521415,20.879624000372132,2.065934064849185,[]
